อ๎์ๅ๐ ๐ๅ้๑เ;ส๎ไ เ/๊;ส๎ไ เ/๏;ฤเ๒เ โ๛๋ๅ๒เ;น ไ๎ใ๎โ๎๐เ;ส๎๋-โ๎ ๏เ๑๑.;
ำ62442;ำ6;ฤุม;01.06.24;95หอ/22;220;
ำ62970;ำ6;สหม;01.06.24;95หอ/22;164;
ิย6256;ิย;มรู;01.06.24;;0;
A46064;A4;ลสม;01.06.24;;0;
ำ6388;ำ6;ฮฬั;01.06.24;95หอ/22;220;
ฤะ6542;ฤะ;ลสม;01.06.24;;186;
ฤะ516;ฤะ;ลสม;01.06.24;;176;
ัำ1731;ัำ;ฯะห;01.06.24;;381;
ัำ2817;ัำ;ลสม;01.06.24;;137;
ำ6523;ำ6;ลสม;01.06.24;95หอ/22;163;
ย2775;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;73;
ฤะ6544;ฤะ;ลสม;01.06.24;;175;
ำ62985;ำ6;ลสม;01.06.24;95หอ/22;139;
ิย6402;ิย;ลสม;01.06.24;;0;
ย2717;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;180;
ำ6251;ำ6;ลสม;01.06.24;95หอ/22;156;
Þย248;Þย;อฦั;01.06.24;;49;
ฤะ340;ฤะ;ลสม;01.06.24;;190;
ำ62426;ำ6;ีฤา;01.06.24;95หอ/22;207;
ำ6264;ำ6;ลสม;01.06.24;95หอ/22;149;
ั73062;ั7;มรู;01.06.24;;0;
ิย6232;ิย;ัสื;01.06.24;;0;
ั75016;ั7;ลสม;01.06.24;สหึ-696-22-P07;0;
ัำ1407;ัำ;ลสม;01.06.24;;172;
ำ6623;ำ6;ัีา;01.06.24;95หอ/22;135;
5อ502;5อ;ลสม;01.06.24;;187;
ำ62916;ำ6;ฤุม;01.06.24;95หอ/22;159;
ำ6300;ำ6;มรู;01.06.24;95หอ/22;162;
ฤะ612;ฤะ;ลสม;01.06.24;;186;
ำ6174;ำ6;ีมะ;01.06.24;95หอ/22;177;
5อ294;5อ;ลสม;01.06.24;;185;
ำ6185;ำ6;ฤฬฤ;01.06.24;95หอ/22;237;
ัำ1217;ัำ;ัสื;01.06.24;;141;
ำ62910;ำ6;ฮุุ;01.06.24;95หอ/22;236;
ำ62950;ำ6;วยะ;01.06.24;95หอ/22;76;
XC8046;XC;ัสื;01.06.24;;0;
ำ6156;ำ6;ัฮื;01.06.24;95หอ/22;49;
ำ62804;ำ6;มศุ;01.06.24;95หอ/22;197;
ำ6305;ำ6;ลสม;01.06.24;95หอ/22;162;
ำ6350;ำ6;มรู;01.06.24;95หอ/22;159;
ำ62131;ำ6;ฦำส;01.06.24;95หอ/22;230;
ำ6704;ำ6;PKX;01.06.24;95หอ/22;92;
SZ333;SZ;ฤุม;01.06.24;338ภะ/21;193;
หภ089;หภ;อำะ;01.06.24;;158;
หภ121;หภ;ลสม;01.06.24;;96;
ำ6123;ำ6;ฯหส;01.06.24;95หอ/22;230;
ำ6262;ำ6;ลสม;01.06.24;95หอ/22;122;
ัำ1437;ัำ;ลสม;01.06.24;;142;
5อ588;5อ;ฮอร;01.06.24;;175;
ั72572;ั7;อำะ;01.06.24;;0;
ำ62920;ำ6;ีฤา;01.06.24;95หอ/22;137;
ิย6348;ิย;อฦั;01.06.24;;0;
ัำ2961;ัำ;ลสม;01.06.24;;152;
ำ6161;ำ6;ฤฬฤ;01.06.24;95หอ/22;162;
