อ๎์ๅ๐ ๐ๅ้๑เ;ส๎ไ เ/๊;ส๎ไ เ/๏;ฤเ๒เ โ๛๋ๅ๒เ;น ไ๎ใ๎โ๎๐เ;ส๎๋-โ๎ ๏เ๑๑.;
ำ62442;ำ6;ฤุม;01.02.24;95หอ/22;214;
ำ62514;ำ6;ฮุุ;01.02.24;95หอ/22;157;
ำ68974;ำ6;ีฤา;01.02.24;95หอ/22;226;
ำ62970;ำ6;สหม;01.02.24;95หอ/22;230;
ศล4611;ศล;มรู;01.02.24;;22;
ำ62734;ำ6;ฮุุ;01.02.24;95หอ/22;226;
ำ6388;ำ6;ฮฬั;01.02.24;95หอ/22;211;
ฤะ404;ฤะ;ลสม;01.02.24;;183;
ฤะ516;ฤะ;ลสม;01.02.24;;188;
สห856;สห;ัสื;01.02.24;;168;
ำ6350;ำ6;มรู;01.02.24;95หอ/22;122;
ำ62804;ำ6;มศุ;01.02.24;95หอ/22;204;
ิย6402;ิย;ลสม;01.02.24;;0;
ัำ1731;ัำ;ฯะห;01.02.24;;377;
ำ62426;ำ6;ีฤา;01.02.24;95หอ/22;216;
ำ6264;ำ6;ลสม;01.02.24;95หอ/22;152;
ิย6256;ิย;มรู;01.02.24;;0;
ฤะ6542;ฤะ;ลสม;01.02.24;;185;
ั73062;ั7;มรู;01.02.24;;0;
ัำ1217;ัำ;ัสื;01.02.24;;149;
ัำ1417;ัำ;ลสม;01.02.24;;138;
ัำ2817;ัำ;ลสม;01.02.24;;149;
ำ62661;ำ6;ัฮื;01.02.24;95หอ/22;70;
5อ502;5อ;ลสม;01.02.24;;186;
ัำ2961;ัำ;ลสม;01.02.24;;161;
ำ62928;ำ6;ฤุม;01.02.24;95หอ/22;151;
ำ62951;ำ6;ลสม;01.02.24;95หอ/22;84;
ำ62910;ำ6;ฮุุ;01.02.24;95หอ/22;214;
5อ294;5อ;ลสม;01.02.24;;185;
SZ333;SZ;ฤุม;01.02.24;338ภะ/21;190;
ำ62956;ำ6;ีฤา;01.02.24;95หอ/22;141;
หภ089;หภ;อำะ;01.02.24;;58;
Þย642;Þย;ฮอร;01.02.24;;30;
ำ6262;ำ6;ลสม;01.02.24;95หอ/22;150;
ั72572;ั7;อำะ;01.02.24;;0;
ศล3637;ศล;มรู;01.02.24;;119;
ศอ1073;ศอ;ลสม;01.02.24;;76;
ัำ1407;ัำ;ลสม;01.02.24;;128;
ะร870;ะร;ลสม;01.02.24;;32;
ำ62642;ำ6;ีฤา;01.02.24;95หอ/22;234;
ย2981;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;50;
ัำ1523;ัำ;อำะ;01.02.24;;149;
ำ6193;ำ6;ฤฬฤ;01.02.24;95หอ/22;223;
ลฮ1101;ลฮ;อฦั;01.02.24;;0;
ะร241;ะร;ฯหส;01.02.24;;34;
SZ205;SZ;ฤุม;01.02.24;338ภะ/21;193;
ำ6272;ำ6;ลสม;01.02.24;95หอ/22;160;
ศอ1103;ศอ;ลสม;01.02.24;;86;
ย2975;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;68;
ศล5685;ศล;ฯะห;01.02.24;;0;
ำ62589;ำ6;ลสม;01.02.24;95หอ/22;72;
ศอ1029;ศอ;ลสม;01.02.24;;76;
ำ6583;ำ6;ฤฬฤ;01.02.24;95หอ/22;160;
หภ317;หภ;อำะ;01.02.24;;92;
ำ62431;ำ6;ฦำส;01.02.24;95หอ/22;109;
ย2941;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;56;
ำ6273;ำ6;ฤฬฤ;01.02.24;95หอ/22;153;
ศล4612;ศล;มรู;01.02.24;;30;
ำ62710;ำ6;ฮุุ;01.02.24;95หอ/22;215;
5อ531;5อ;ฯหส;01.02.24;;186;
Þย225;Þย;ะฬฮ;01.02.24;;21;
ิย6780;ิย;อำะ;01.02.24;;0;
ำ6233;ำ6;ฤฬฤ;01.02.24;95หอ/22;234;
ย2783;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;162;
ำ6174;ำ6;ลสม;01.02.24;95หอ/22;176;
ิย6880;ิย;มรู;01.02.24;;0;
ำ6205;ำ6;ลสม;01.02.24;95หอ/22;138;
ำ62427;ำ6;ฦำส;01.02.24;95หอ/22;150;
ำ6797;ำ6;ฤฬฤ;01.02.24;95หอ/22;147;
ำ62662;ำ6;ฤุม;01.02.24;95หอ/22;164;
ำ69245;ำ6;ลสม;01.02.24;95หอ/22;39;
Þา542;Þา;อำะ;01.02.24;;114;
Þา105;Þา;ลสม;01.02.24;;63;
ำ62952;ำ6;มภส;01.02.24;95หอ/22;116;
5อ505;5อ;ฯหส;01.02.24;;142;
ัำ1603;ัำ;ัสื;01.02.24;;153;
ศอ1303;ศอ;ัสื;01.02.24;;82;
ิย6350;ิย;อฦั;01.02.24;;0;
ศอ1033;ศอ;ลสม;01.02.24;;64;
ั75336;ั7;อำะ;01.02.24;;0;
ำ6079;ำ6;ฤฬฤ;01.02.24;95หอ/22;149;
ำ6261;ำ6;ฤฬฤ;01.02.24;95หอ/22;157;
ำ6300;ำ6;ลสม;01.02.24;95หอ/22;149;
ย2957;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;88;
ัำ1357;ัำ;รัย;01.02.24;;145;
ัำ616;ัำ;ลสม;01.02.24;;128;
ำ69196;ำ6;ีมะ;01.02.24;95หอ/22;48;
ัำ1411;ัำ;ลสม;01.02.24;;156;
ิย6792;ิย;ลสม;01.02.24;;0;
Þย651;Þย;ะฬฮ;01.02.24;;20;
Þา281;Þา;ลสม;01.02.24;;47;
ฤะ468;ฤะ;รัย;01.02.24;;186;
ำ6321;ำ6;ลสม;01.02.24;95หอ/22;218;
Þา186;Þา;อำะ;01.02.24;;152;
Þย205;Þย;ะฬฮ;01.02.24;;18;
หภ9789;หภ;อำะ;01.02.24;;0;
Þา335;Þา;ลสม;01.02.24;;66;
ศอ1028;ศอ;อฦั;01.02.24;;40;
หภ211;หภ;ลสม;01.02.24;;49;
ิย6232;ิย;ัสื;01.02.24;;0;
ำ68445;ำ6;ฦำส;01.02.24;95หอ/22;152;
ฤะ332;ฤะ;ัสื;01.02.24;;186;
ศอ1069;ศอ;ลสม;01.02.24;;66;
ำ6627;ำ6;ฤฬฤ;01.02.24;95หอ/22;228;
ัำ1221;ัำ;อฦั;01.02.24;;140;
ำ6220;ำ6;ัฮื;01.02.24;95หอ/22;214;
Þา332;Þา;ลสม;01.02.24;;41;
5อ532;5อ;ัสื;01.02.24;;185;
ัำ1401;ัำ;ลสม;01.02.24;;130;
ำ62260;ำ6;ฮุุ;01.02.24;95หอ/22;158;
ำ6391;ำ6;ฯหส;01.02.24;95หอ/22;223;
Þา773;Þา;ัสื;01.02.24;;87;
ย2951;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;51;
ำ6572;ำ6;ลสม;01.02.24;95หอ/22;159;
ัำ1605;ัำ;ัสื;01.02.24;;147;
SZ043;SZ;ฤุม;01.02.24;338ภะ/21;185;
าศ9992;าศ;ลสม;01.02.24;สหึ-696-22-P07;0;
5อ270;5อ;ัสื;01.02.24;;192;
ย2939;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;57;
ศอ1369;ศอ;ัสื;01.02.24;;55;
ำ6173;ำ6;ฯหส;01.02.24;95หอ/22;167;
ั75018;ั7;ลสม;01.02.24;;0;
ิย6106;ิย;อฦั;01.02.24;;0;
ำ62432;ำ6;สหม;01.02.24;95หอ/22;221;
5อ597;5อ;ฯหส;01.02.24;;179;
ัำ1413;ัำ;ลสม;01.02.24;;234;
าศ9994;าศ;ลสม;01.02.24;สหึ-696-22-P07;0;
ำ6299;ำ6;ฤฬฤ;01.02.24;95หอ/22;159;
ำ6206;ำ6;ฬะย;01.02.24;95หอ/22;117;
ำ6234;ำ6;ัฮื;01.02.24;95หอ/22;231;
Þย457;Þย;ะฬฮ;01.02.24;;14;
Þา282;Þา;ัสื;01.02.24;;67;
ำ6619;ำ6;ัฮื;01.02.24;95หอ/22;146;
ศอ1304;ศอ;อำะ;01.02.24;;88;
ำ6268;ำ6;ลสม;01.02.24;95หอ/22;158;
A46055;A4;รัย;01.02.24;;0;
ำ6437;ำ6;ฤฬฤ;01.02.24;95หอ/22;223;
ำ62865;ำ6;ฬะย;01.02.24;95หอ/22;128;
Þย652;Þย;ะฬฮ;01.02.24;;23;
ั75032;ั7;ัสื;01.02.24;;0;
